Round,RemainingEnergy(J)
150,42.985850255505184
151,42.93991256070955
152,42.89218942527733
153,42.84633421600131
154,42.800699092152364
155,42.75483875559658
156,42.708550311287226
157,42.66240140791878
158,42.616529484972986
159,42.569542907392545
160,42.52319347474777
161,42.47650387173872
162,42.430930837712424
163,42.38479790190301
164,42.33830375379425
165,42.292111717332126
166,42.246853324739725
167,42.19980098513341
168,42.154287834755266
169,42.10146079575414
170,42.055823364822885
171,42.003390608619874
172,41.9577227827365
173,41.91137252083447
174,41.86543867554662
175,41.81471088470852
176,41.76819038678877
177,41.72257260839329
178,41.67615374660317
179,41.623741457599436
180,41.570609550171376
181,41.52416057723625
182,41.47378412156823
183,41.427488902997354
184,41.381449163513075
185,41.33515240024113
186,41.289407811561034
187,41.24388887816064
188,41.197157839206675
189,41.15147112338707
190,41.105712603582795
191,41.06066781324256
192,41.01466627354054
193,40.96697504822099
194,40.91509417800267
195,40.869337386502934
196,40.82233684190618
197,40.776219903270544
198,40.723750723515586
199,40.67773670590979
200,40.630355845923596
201,40.58113604693196
202,40.53473540611596
203,40.48823820477596
204,40.44260685516243
205,40.39673708375251
206,40.35118132357619
207,40.299425192576024
208,40.25379019013246
209,40.200971276137366
210,40.15449457726157
211,40.1081890370632
212,40.062865998291024
213,40.01452144636122
214,39.96883817802409
215,39.922416146045805
216,39.87657923688449
217,39.8301158138255
218,39.784774471302164
219,39.73940980343367
220,39.69394452028565
221,39.64747851614297
222,39.60029798221208
223,39.55246477694811
224,39.50290850616738
225,39.457664268137584
226,39.411380246793044
227,39.36514447313684
228,39.31858062394083
229,39.27202607920979
230,39.219209980415215
231,39.17102755084731
232,39.12557968745291
233,39.07998900907448
234,39.034335108564804
235,38.98823950739312
236,38.9380037675603
237,38.892377607814765
238,38.84723289237048
239,38.801174758841064
240,38.754980455834975
241,38.70886972165031
242,38.65981780547142
243,38.613607883702
244,38.567662002440834
245,38.52242166235709
246,38.47612032379594
247,38.424206322113946
248,38.37783050954548
249,38.33257161548211
250,38.28706357853181
251,38.24106408050038
252,38.19406780148005
253,38.14821693648708
254,38.101989187495874
255,38.055521892055125
256,38.00859717793641
257,37.95550653049401
258,37.909736495963756
259,37.86353959688869
260,37.81732055111517
261,37.77191835444544
262,37.726829738380005
263,37.681816150352105
264,37.63463278733063
265,37.58941771835578
266,37.54389002808228
267,37.498113912439315
268,37.45197288113217
269,37.398616404628555
270,37.352196010565805
271,37.30674767430183
272,37.26067435200066
273,37.21112318242618
274,37.16474369689759
275,37.11199808706909
276,37.065702008290366
277,37.012868829120585
278,36.9675906528389
279,36.92121987459233
280,36.87553880717834
281,36.82822561659944
282,36.782030843645614
283,36.73720197918715
284,36.68280923190921
285,36.63473529201058
286,36.58820426168336
287,36.5428063090929
288,36.496275993436946
289,36.44989560501936
290,36.39735250092478
291,36.35205870412269
292,36.3064811521057
293,36.24843041657202
294,36.196007181747724
295,36.14918630532406
296,36.102996434970365
297,36.05717961398861
298,36.010994808800646
299,35.96497404223099
300,35.92014781582831
301,35.87485766724583
302,35.828524991913554
303,35.78334245722351
304,35.73668035197491
305,35.69110826857369
306,35.64291212328391
307,35.59706723158132
308,35.54946588941643
309,35.50421244910033
310,35.45812989617606
311,35.41234954303317
312,35.35912691262327
313,35.31369370094187
314,35.26645971364971
315,35.223258607623585
316,35.17773117599081
317,35.13172549071432
318,35.08651457752976
319,35.040995259831895
320,34.99495518473372
321,34.94940173037476
322,34.90397083239274
323,34.858228858896375
324,34.81300987387267
325,34.7668751148586
326,34.720967635145335
327,34.67550275363641
328,34.62928437371272
329,34.583827125909515
330,34.53137215245993
331,34.48646151986474
332,34.441799768625664
333,34.39690294396483
334,34.35048462402861
335,34.30535449418878
336,34.260099615805885
337,34.214484191563436
338,34.16157739643627
339,34.11633946698048
340,34.07100508907561
341,34.02614116127829
342,33.967659369910926
343,33.922668093430914
344,33.87375496838473
345,33.82828135446881
346,33.78317097242539
347,33.71882563605917
348,33.66994714019543
349,33.62528291796097
350,33.5672213274105
351,33.51296120036043
352,33.46768540514083
353,33.422200420675274
354,33.37739171957284
355,33.33224656123146
356,33.28726012461292
357,33.24145301500391
358,33.188738111225994
359,33.14332089974629
360,33.09092304484624
361,33.04490114154823
362,32.999411217049214
363,32.95409478476503
364,32.90908669809978
365,32.86281939958001
366,32.81795345752291
367,32.77255577842051
368,32.7274925608904
369,32.681946878648574
370,32.637270620569744
371,32.59058895539178
372,32.54419032323258
373,32.49749009582452
374,32.45190565175778
375,32.40544355802748
376,32.358260981588245
377,32.31339592555911
378,32.26619517530538
379,32.22055036156739
380,32.17524376326931
381,32.12943025816035
382,32.083901930909505
383,32.03765000531913
384,31.99258017187089
385,31.946820207595852
386,31.89501047080942
387,31.843024376666545
388,31.79694252833273
389,31.752258975162107
390,31.70755910619874
391,31.660998989327283
392,31.615972689388908
393,31.571566482701904
394,31.520289226173457
395,31.476496189545934
396,31.43132113196568
397,31.386697562319686
398,31.342005823927344
399,31.295730534642207
400,31.248338280088387
