Round,RemainingEnergy(J)
299,34.64196507414623
300,34.596478044193994
301,34.54271184574939
302,34.47704654790056
303,34.42358026031198
304,34.37420202191544
305,34.32361523240716
306,34.27026946230472
307,34.222046539889156
308,34.17425877085254
309,34.117082736608
310,34.06580223297404
311,34.01761222384783
312,33.9716179198667
313,33.91625859559259
314,33.86893709230226
315,33.82227530819694
316,33.773633717251435
317,33.72248142259093
318,33.67710549746819
319,33.63218483950611
320,33.584872198135095
321,33.53657514542778
322,33.48996705579425
323,33.44520481628531
324,33.396193265133356
325,33.347612440405804
326,33.299635355856594
327,33.24644108994762
328,33.19720043546872
329,33.14864507319746
330,33.097638498108296
331,33.04952077266619
332,33.0002792383939
333,32.943857354597476
334,32.89176089519601
335,32.84545397441729
336,32.79994013670744
337,32.732987140204386
338,32.67348069573687
339,32.6251559959971
340,32.57899129879764
341,32.51343256453661
342,32.465758884919296
343,32.4178260544856
344,32.371809902937926
345,32.32464442753108
346,32.278442186997694
347,32.2151993271698
348,32.16517250455676
349,32.11797289680911
350,32.073334195758974
351,32.02407974617982
352,31.96586990548692
353,31.917651540056806
354,31.871286415595716
355,31.825750118444393
356,31.776368015511764
357,31.725097209279504
358,31.678462425982374
359,31.632166331235926
360,31.579371751200352
361,31.52718179341903
362,31.478690939887606
363,31.43019261690699
364,31.37827368980587
365,31.314883458047444
366,31.268438625458092
367,31.215284306771714
368,31.169963994201183
369,31.116816668474822
370,31.070573489231563
371,31.024042936576606
372,30.977406537168708
373,30.898007896785426
374,30.850599519267877
375,30.803981007815
376,30.748791525433422
377,30.70221950324658
378,30.643945899311703
379,30.594076298703857
380,30.53048736129249
381,30.482956731923984
382,30.43508906616094
383,30.379169549686324
384,30.33098995249411
385,30.28194732758843
386,30.22985159756456
387,30.17974967415222
388,30.125845968879418
389,30.073286427730846
390,30.00575949826523
391,29.957108639458042
392,29.909960831639278
393,29.849208640363937
394,29.801935117908545
395,29.754251143427403
396,29.69434920343309
397,29.63887173143906
398,29.589649670372424
399,29.54388386814329
400,29.487104992835803
401,29.441478605085525
402,29.377190108889263
403,29.32620589094655
404,29.277314971120255
405,29.228011203019786
406,29.181132554037198
407,29.13560543542676
408,29.085400032914595
409,29.037087629414955
410,28.986081688073583
411,28.940237760800464
412,28.880517620460974
413,28.83435417536646
414,28.78713237931159
415,28.74172716495563
416,28.695314950603255
417,28.64029980608915
418,28.592162031608673
419,28.547069565734947
420,28.497296751464816
421,28.451022924900993
422,28.40220392476
423,28.351696899614918
424,28.301803992902155
425,28.253366483614066
426,28.205869414537382
427,28.159534470926765
428,28.109830177148346
429,28.041393968342142
430,27.992947533541734
431,27.943975729764848
432,27.89351644044008
433,27.841465865123833
434,27.78014106697287
435,27.734055474114268
436,27.676715241271516
437,27.624357441390508
438,27.578426163258072
439,27.518869705370374
440,27.46335965944268
441,27.414258043766328
442,27.368593117981938
443,27.31211851006624
444,27.262262041884238
445,27.199798997582295
446,27.153902118498074
447,27.10659754355644
448,27.058399433560645
449,27.00199812091456
450,26.94088079393417
451,26.893091205714946
452,26.84032477196696
453,26.79354751017758
454,26.73454946618792
455,26.685680224008927
456,26.636583755915947
457,26.585458056829594
458,26.536612742880276
459,26.491924246411973
460,26.439393705017388
461,26.39146999371811
462,26.33316726525958
463,26.275622712001052
464,26.228107617121374
465,26.181038076410854
466,26.12336495017135
467,26.03869108779106
468,25.98217564165202
469,25.937202860633235
470,25.88621528111926
471,25.836036510792983
472,25.781316496892607
473,25.730550167212705
474,25.682641030355263
475,25.63105703300361
476,25.579698909582998
477,25.533155985031993
478,25.483544890917596
479,25.433482509896365
480,25.386826670629127
481,25.327853929379696
482,25.28220531521699
483,25.234571548241806
484,25.185381536189645
485,25.132753356897584
486,25.079561512153198
487,25.030463066452025
488,24.979594339762794
489,24.92014068804616
490,24.875389912802333
491,24.811306615528498
492,24.76188067723411
493,24.69774483065337
494,24.650847322409298
495,24.59944040864715
496,24.534804793129076
497,24.489134304558316
498,24.41576370129859
499,24.367667269050767
500,24.319486088462764
501,24.27395974515966
502,24.221790122244084
503,24.174826991824993
504,24.1244244649408
505,24.073013212814782
506,24.027520719193106
507,23.97938953803797
508,23.90926482142314
509,23.847519219413275
510,23.79879308625978
511,23.74625314889305
512,23.69771888816156
513,23.653135390467042
514,23.602725245065407
515,23.555041267175444
516,23.50030082987198
517,23.449792764657545
518,23.402980695032948
519,23.35567208273594
520,23.299779893963287
521,23.249328336403376
522,23.200205309077774
523,23.148456012385278
524,23.09351656595509
525,23.04338096321176
526,22.990186892003432
527,22.93719741615162
528,22.872575939350916
529,22.827235123162804
530,22.778332584830622
531,22.724490016459217
532,22.678455922331818
533,22.633876703019602
534,22.58767202870412
535,22.540088033075417
536,22.49083996560664
537,22.429920838093253
538,22.38154673363434
539,22.317409648754165
540,22.260732242751196
541,22.210770724890217
542,22.158098856507646
543,22.112756029208338
544,22.06537179674758
545,22.014562997825436
546,21.958665952862667
547,21.911529200978176
548,21.85245937876251
549,21.774482739040664
550,21.720644345472767
551,21.663792459145146
552,21.61109839258027
553,21.550510286185908
554,21.50094465510475
555,21.453065114441486
556,21.40716533452709
557,21.357405819725177
558,21.309546573845903
559,21.261834477645717
560,21.213798585299397
561,21.16598005304838
562,21.11656376959358
563,21.06237200530481
564,21.01703592288365
565,20.964882503161586
566,20.917895296263254
567,20.86891088825242
568,20.821163371349392
569,20.764928181536046
570,20.71752009647939
571,20.669956679646084
572,20.618603080198746
573,20.56837798045424
574,20.521288630833205
575,20.47207026578121
576,20.425137461578757
577,20.377001843124603
578,20.313379964498708
579,20.259290846014792
580,20.207228055589148
581,20.16161784546331
582,20.113428934019566
583,20.066129966798798
584,20.009861667779248
585,19.9592924296398
586,19.907785312177467
587,19.84890879435127
588,19.800401180868647
589,19.753848751407226
590,19.700130945475966
591,19.644951464631315
592,19.597704144657698
593,19.549167946079976
594,19.501055769331224
595,19.452949882585145
596,19.402093678482924
597,19.35509885549209
598,19.308348112718452
599,19.24602721516177
600,19.197224051050522
601,19.144331615801757
602,19.07991753894458
603,19.028263030757103
604,18.978591096598876
605,18.930634168947567
606,18.864675213524887
607,18.818676005735803
608,18.758901128663314
609,18.711343843909482
610,18.662922346848674
611,18.61114840269372
612,18.5627176717729
613,18.51100282756775
614,18.461128288853555
615,18.415893374657937
616,18.366766167767366
617,18.322805685830307
618,18.277722369756415
619,18.229594981229152
620,18.17730578723618
621,18.129344091056335
622,18.08162455916853
623,18.03026774949792
624,17.984776148978778
625,17.92100628440135
626,17.872140267295496
627,17.825157167994618
628,17.78004004531238
629,17.72885020132643
630,17.676170974476545
631,17.611382724829156
632,17.561314074946203
633,17.513812200986294
634,17.46807101639189
635,17.421394346307142
636,17.362106422274532
637,17.307002493910417
638,17.260069457535227
639,17.214203739657908
640,17.159631966463095
641,17.112325877306077
642,17.06571320063907
643,17.014754787355866
644,16.958616276884403
645,16.909990553695888
646,16.85827652122678
647,16.80224864654372
648,16.748309216965637
649,16.699549318127914
650,16.65245610904888
651,16.605361119828107
652,16.552403633666273
653,16.508462160857185
654,16.462439827438065
655,16.41413259935809
656,16.363261398290216
657,16.29593559729732
658,16.24833918208038
659,16.19782996633777
660,16.14626127422406
661,16.101096278192546
662,16.04741664868739
663,15.999784782543891
664,15.938518693526623
665,15.886917892891864
666,15.841957396357245
667,15.788522145156684
668,15.736542374727069
669,15.688827978446113
670,15.643144806364045
671,15.588538950798556
672,15.536675389123593
673,15.481533569545888
674,15.436423404373231
675,15.387447701173175
676,15.340162230002973
677,15.289851605233665
678,15.239036350214201
679,15.18865316104833
680,15.130743910589018
681,15.073519237952626
682,15.021717947298828
683,14.973134566683285
684,14.925963007995753
685,14.87735922805655
686,14.824753184353394
687,14.780127467310287
688,14.725871220006594
689,14.686184313741148
690,14.630450612597908
691,14.585737388900482
692,14.54009057356298
693,14.487955937975412
694,14.43052278285176
695,14.38773469818299
696,14.34351972237392
697,14.297294310956119
698,14.251729448283802
699,14.204614619440234
700,14.150753115836071
701,14.092295046400872
702,14.045966485090208
703,14.001511225381323
704,13.950491151250645
705,13.904975702047027
706,13.84953769405543
707,13.79910981441392
708,13.740876463964673
709,13.694037340920618
710,13.64424248788916
711,13.593153129698106
712,13.546300948133077
713,13.501032108602919
714,13.458572097915015
715,13.410501770596957
716,13.352826412861532
717,13.306176871290328
718,13.262350494669384
719,13.212138578434617
720,13.160124384716083
721,13.116123381388913
722,13.0719851341007
723,13.01983041334697
724,12.97482711429836
725,12.929837380095158
726,12.879798296196459
727,12.824319420437451
728,12.773589976931001
729,12.731149799838239
730,12.677146573593124
731,12.6098777702027
732,12.561877890776936
733,12.503360477152151
734,12.455220497129245
735,12.403870408825627
736,12.35817647749228
737,12.30436367028192
738,12.243256165247386
739,12.198046349104917
740,12.143186852941094
741,12.098158968063025
742,12.039274124548953
743,11.9948128508378
744,11.951313287310981
745,11.894944267784265
746,11.84919251732514
747,11.803329577300305
748,11.75629874491902
749,11.708959427902908
750,11.665753370646119
751,11.61684372768704
752,11.55380647433783
753,11.508109926020385
754,11.46126541033181
755,11.414577176444409
756,11.371110116006788
757,11.32891134836183
758,11.268634868172445
759,11.2187041872837
760,11.160242460997479
761,11.110043316679675
762,11.061281316642628
763,11.001175668973117
764,10.943733318715598
765,10.883257407687278
766,10.836378874022179
767,10.790160699551311
768,10.743039508591288
769,10.687002747842062
770,10.62091076431924
771,10.582920669579945
772,10.537764645273707
773,10.497193282350322
774,10.453183104352368
775,10.412370910945393
776,10.370581424861863
777,10.327330327133888
778,10.279345653695092
779,10.228572694068488
780,10.175984456562022
781,10.122152480735158
782,10.073046520604008
783,10.030301223511021
784,9.98194793470567
785,9.94090800112442
786,9.894605484207466
787,9.851775668201212
788,9.809637592489599
789,9.768840492208149
790,9.727826307245238
791,9.673338090371338
792,9.631351587185152
793,9.58113485807009
794,9.539342378080043
795,9.496886100733587
796,9.455551207804332
797,9.414783525521866
798,9.374695447638823
799,9.329343322010093
800,9.283376857142462
801,9.235846146327725
802,9.192002216611078
803,9.147452059078383
804,9.106796634008449
805,9.065270876400996
806,9.022517532647255
807,8.978026520907624
808,8.909347076398403
809,8.867073749685687
810,8.828348775673566
811,8.785131712945121
812,8.741099260080427
813,8.701838107885367
814,8.660451763395361
815,8.622142527120966
816,8.58205008054585
817,8.519607392424172
818,8.481037301816313
819,8.439758191884899
820,8.395532931947985
821,8.352469638529822
822,8.313922073870161
823,8.267829440546958
824,8.209271694012015
825,8.168711523420177
826,8.12452743125684
827,8.077716892672374
828,8.03450067522466
829,7.995765235215602
830,7.948823755494727
831,7.900965234945848
832,7.85412812942195
833,7.815621400306376
834,7.777059896588617
835,7.734515200423191
836,7.680831668394031
837,7.63633434459874
838,7.590705081082862
839,7.548973914676613
840,7.503760703226772
841,7.463565871569327
842,7.411333587868694
843,7.367597827635898
844,7.311386818115216
845,7.260953434021084
846,7.2214467432595635
847,7.177287125322296
848,7.139387540359577
849,7.099454058374021
850,7.054583448754746
851,7.014265265377889
852,6.970330844391036
853,6.92964953637182
854,6.888906413151925
855,6.849894328824762
856,6.814593307304376
857,6.768428466241885
858,6.73044669891486
859,6.690369890753615
860,6.642572537943352
861,6.597962320586538
862,6.555189334306709
863,6.506785511075955
864,6.465602361196077
865,6.427303500542566
866,6.392117662987755
867,6.346896358907952
868,6.307824861091296
869,6.2699905086555905
870,6.222130675998086
871,6.17892213175735
872,6.125910132136966
873,6.090226584521065
874,6.051418195328784
875,6.010201053232161
876,5.970280632438721
877,5.931030544386501
878,5.89468556635473
879,5.847968830947161
880,5.811680275444046
881,5.77729168975794
882,5.740175979334417
883,5.705671771666133
884,5.669012226039331
885,5.628472771001815
